"Database"	"Slave"	"Lang_Code"	"Project_Type"
"kuwiki"	"s3-analytics-slave.eqiad.wmnet"	"ku"	"wiki"
"kuwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ku"	"wikibooks"
"kuwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ku"	"wikiquote"
"kvwiki"	"s3-analytics-slave.eqiad.wmnet"	"kv"	"wiki"
"kwwiki"	"s3-analytics-slave.eqiad.wmnet"	"kw"	"wiki"
"kwwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"kw"	"wikiquote"
"kywiki"	"s3-analytics-slave.eqiad.wmnet"	"ky"	"wiki"
"kywikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ky"	"wikibooks"
"kywikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ky"	"wikiquote"
"ladwiki"	"s3-analytics-slave.eqiad.wmnet"	"lad"	"wiki"
"lawiki"	"s3-analytics-slave.eqiad.wmnet"	"la"	"wiki"
"lawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"la"	"wikibooks"
"lawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"la"	"wikiquote"
"lawikisource"	"s3-analytics-slave.eqiad.wmnet"	"la"	"wikisource"
"lbewiki"	"s3-analytics-slave.eqiad.wmnet"	"lbe"	"wiki"
"lbwiki"	"s3-analytics-slave.eqiad.wmnet"	"lb"	"wiki"
"lbwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"lb"	"wikibooks"
"lbwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"lb"	"wikiquote"
"lezwiki"	"s3-analytics-slave.eqiad.wmnet"	"lez"	"wiki"
"lgwiki"	"s3-analytics-slave.eqiad.wmnet"	"lg"	"wiki"
"lijwiki"	"s3-analytics-slave.eqiad.wmnet"	"lij"	"wiki"
"liwiki"	"s3-analytics-slave.eqiad.wmnet"	"li"	"wiki"
"liwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"li"	"wikibooks"
"liwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"li"	"wikiquote"
"liwikisource"	"s3-analytics-slave.eqiad.wmnet"	"li"	"wikisource"
"lmowiki"	"s3-analytics-slave.eqiad.wmnet"	"lmo"	"wiki"
"lnwiki"	"s3-analytics-slave.eqiad.wmnet"	"ln"	"wiki"
"lnwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ln"	"wikibooks"
"lowiki"	"s3-analytics-slave.eqiad.wmnet"	"lo"	"wiki"
"ltgwiki"	"s3-analytics-slave.eqiad.wmnet"	"ltg"	"wiki"
"ltwiki"	"s3-analytics-slave.eqiad.wmnet"	"lt"	"wiki"
"ltwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"lt"	"wikibooks"
"ltwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"lt"	"wikiquote"
"ltwikisource"	"s3-analytics-slave.eqiad.wmnet"	"lt"	"wikisource"
"lvwiki"	"s3-analytics-slave.eqiad.wmnet"	"lv"	"wiki"
"lvwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"lv"	"wikibooks"
"map_bmswiki"	"s3-analytics-slave.eqiad.wmnet"	"map-bms"	"wiki"
"mdfwiki"	"s3-analytics-slave.eqiad.wmnet"	"mdf"	"wiki"
"mgwiki"	"s3-analytics-slave.eqiad.wmnet"	"mg"	"wiki"
"mgwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"mg"	"wikibooks"
"mhrwiki"	"s3-analytics-slave.eqiad.wmnet"	"mhr"	"wiki"
"mhwiki"	"s3-analytics-slave.eqiad.wmnet"	"mh"	"wiki"
"minnanwiki"	"s3-analytics-slave.eqiad.wmnet"	"minnan"	"wiki"
"minwiki"	"s3-analytics-slave.eqiad.wmnet"	"min"	"wiki"
"miwiki"	"s3-analytics-slave.eqiad.wmnet"	"mi"	"wiki"
"miwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"mi"	"wikibooks"
"mkwiki"	"s3-analytics-slave.eqiad.wmnet"	"mk"	"wiki"
"mkwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"mk"	"wikibooks"
"mkwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"mk"	"wikimedia"
"mkwikisource"	"s3-analytics-slave.eqiad.wmnet"	"mk"	"wikisource"
"mlwiki"	"s3-analytics-slave.eqiad.wmnet"	"ml"	"wiki"
"mlwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ml"	"wikibooks"
"mlwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ml"	"wikiquote"
"mlwikisource"	"s3-analytics-slave.eqiad.wmnet"	"ml"	"wikisource"
"mnwiki"	"s3-analytics-slave.eqiad.wmnet"	"mn"	"wiki"
"mnwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"mn"	"wikibooks"
"mowiki"	"s3-analytics-slave.eqiad.wmnet"	"mo"	"wiki"
"mrjwiki"	"s3-analytics-slave.eqiad.wmnet"	"mrj"	"wiki"
"mrwiki"	"s3-analytics-slave.eqiad.wmnet"	"mr"	"wiki"
"mrwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"mr"	"wikibooks"
"mrwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"mr"	"wikiquote"
"mrwikisource"	"s3-analytics-slave.eqiad.wmnet"	"mr"	"wikisource"
"mswiki"	"s3-analytics-slave.eqiad.wmnet"	"ms"	"wiki"
"mswikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ms"	"wikibooks"
"mtwiki"	"s3-analytics-slave.eqiad.wmnet"	"mt"	"wiki"
"muswiki"	"s3-analytics-slave.eqiad.wmnet"	"mus"	"wiki"
"mwlwiki"	"s3-analytics-slave.eqiad.wmnet"	"mwl"	"wiki"
"mxwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"mx"	"wikimedia"
"myvwiki"	"s3-analytics-slave.eqiad.wmnet"	"myv"	"wiki"
"mywiki"	"s3-analytics-slave.eqiad.wmnet"	"my"	"wiki"
"mywikibooks"	"s3-analytics-slave.eqiad.wmnet"	"my"	"wikibooks"
"mznwiki"	"s3-analytics-slave.eqiad.wmnet"	"mzn"	"wiki"
"nahwiki"	"s3-analytics-slave.eqiad.wmnet"	"nah"	"wiki"
"nahwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"nah"	"wikibooks"
"napwiki"	"s3-analytics-slave.eqiad.wmnet"	"nap"	"wiki"
"nawiki"	"s3-analytics-slave.eqiad.wmnet"	"na"	"wiki"
"nawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"na"	"wikibooks"
"nawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"na"	"wikiquote"
"nds_nlwiki"	"s3-analytics-slave.eqiad.wmnet"	"nds-nl"	"wiki"
"ndswiki"	"s3-analytics-slave.eqiad.wmnet"	"nds"	"wiki"
"ndswikibooks"	"s3-analytics-slave.eqiad.wmnet"	"nds"	"wikibooks"
"ndswikiquote"	"s3-analytics-slave.eqiad.wmnet"	"nds"	"wikiquote"
"newiki"	"s3-analytics-slave.eqiad.wmnet"	"ne"	"wiki"
"newikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ne"	"wikibooks"
"newwiki"	"s3-analytics-slave.eqiad.wmnet"	"new"	"wiki"
"ngwiki"	"s3-analytics-slave.eqiad.wmnet"	"ng"	"wiki"
"nlwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"nl"	"wikibooks"
"nlwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"nl"	"wikimedia"
"nlwikinews"	"s3-analytics-slave.eqiad.wmnet"	"nl"	"wikinews"
"nlwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"nl"	"wikiquote"
"nlwikisource"	"s3-analytics-slave.eqiad.wmnet"	"nl"	"wikisource"
"nlwikivoyage"	"s3-analytics-slave.eqiad.wmnet"	"nl"	"wikivoyage"
"nnwiki"	"s3-analytics-slave.eqiad.wmnet"	"nn"	"wiki"
"nnwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"nn"	"wikiquote"
"novwiki"	"s3-analytics-slave.eqiad.wmnet"	"nov"	"wiki"
"nowikibooks"	"s3-analytics-slave.eqiad.wmnet"	"no"	"wikibooks"
"nowikimedia"	"s3-analytics-slave.eqiad.wmnet"	"no"	"wikimedia"
"nowikinews"	"s3-analytics-slave.eqiad.wmnet"	"no"	"wikinews"
"nowikiquote"	"s3-analytics-slave.eqiad.wmnet"	"no"	"wikiquote"
"nowikisource"	"s3-analytics-slave.eqiad.wmnet"	"no"	"wikisource"
"nrmwiki"	"s3-analytics-slave.eqiad.wmnet"	"nrm"	"wiki"
"nsowiki"	"s3-analytics-slave.eqiad.wmnet"	"nso"	"wiki"
"nvwiki"	"s3-analytics-slave.eqiad.wmnet"	"nv"	"wiki"
"nycwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"nyc"	"wikimedia"
"nywiki"	"s3-analytics-slave.eqiad.wmnet"	"ny"	"wiki"
"nzwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"nz"	"wikimedia"
"ocwiki"	"s3-analytics-slave.eqiad.wmnet"	"oc"	"wiki"
"ocwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"oc"	"wikibooks"
"omwiki"	"s3-analytics-slave.eqiad.wmnet"	"om"	"wiki"
"orwiki"	"s3-analytics-slave.eqiad.wmnet"	"or"	"wiki"
"oswiki"	"s3-analytics-slave.eqiad.wmnet"	"os"	"wiki"
"pa_uswikimedia"	"s3-analytics-slave.eqiad.wmnet"	"pa-us"	"wikimedia"
"pagwiki"	"s3-analytics-slave.eqiad.wmnet"	"pag"	"wiki"
"pamwiki"	"s3-analytics-slave.eqiad.wmnet"	"pam"	"wiki"
"papwiki"	"s3-analytics-slave.eqiad.wmnet"	"pap"	"wiki"
"pawiki"	"s3-analytics-slave.eqiad.wmnet"	"pa"	"wiki"
"pawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"pa"	"wikibooks"
"pcdwiki"	"s3-analytics-slave.eqiad.wmnet"	"pcd"	"wiki"
"pdcwiki"	"s3-analytics-slave.eqiad.wmnet"	"pdc"	"wiki"
"pflwiki"	"s3-analytics-slave.eqiad.wmnet"	"pfl"	"wiki"
"pihwiki"	"s3-analytics-slave.eqiad.wmnet"	"pih"	"wiki"
"piwiki"	"s3-analytics-slave.eqiad.wmnet"	"pi"	"wiki"
"plwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"pl"	"wikibooks"
"plwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"pl"	"wikimedia"
"plwikinews"	"s3-analytics-slave.eqiad.wmnet"	"pl"	"wikinews"
"plwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"pl"	"wikiquote"
"plwikisource"	"s3-analytics-slave.eqiad.wmnet"	"pl"	"wikisource"
"plwikivoyage"	"s3-analytics-slave.eqiad.wmnet"	"pl"	"wikivoyage"
"pmswiki"	"s3-analytics-slave.eqiad.wmnet"	"pms"	"wiki"
"pnbwiki"	"s3-analytics-slave.eqiad.wmnet"	"pnb"	"wiki"
"pntwiki"	"s3-analytics-slave.eqiad.wmnet"	"pnt"	"wiki"
"pswiki"	"s3-analytics-slave.eqiad.wmnet"	"ps"	"wiki"
"pswikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ps"	"wikibooks"
"ptwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"pt"	"wikibooks"
"ptwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"pt"	"wikimedia"
"ptwikinews"	"s3-analytics-slave.eqiad.wmnet"	"pt"	"wikinews"
"ptwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"pt"	"wikiquote"
"ptwikisource"	"s3-analytics-slave.eqiad.wmnet"	"pt"	"wikisource"
"ptwikiversity"	"s3-analytics-slave.eqiad.wmnet"	"pt"	"wikiversity"
"ptwikivoyage"	"s3-analytics-slave.eqiad.wmnet"	"pt"	"wikivoyage"
"quwiki"	"s3-analytics-slave.eqiad.wmnet"	"qu"	"wiki"
"quwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"qu"	"wikibooks"
"quwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"qu"	"wikiquote"
"rmwiki"	"s3-analytics-slave.eqiad.wmnet"	"rm"	"wiki"
"rmwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"rm"	"wikibooks"
"rmywiki"	"s3-analytics-slave.eqiad.wmnet"	"rmy"	"wiki"
"rnwiki"	"s3-analytics-slave.eqiad.wmnet"	"rn"	"wiki"
"roa_rupwiki"	"s3-analytics-slave.eqiad.wmnet"	"roa-rup"	"wiki"
"roa_tarawiki"	"s3-analytics-slave.eqiad.wmnet"	"roa-tara"	"wiki"
"rowikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ro"	"wikibooks"
"rowikinews"	"s3-analytics-slave.eqiad.wmnet"	"ro"	"wikinews"
"rowikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ro"	"wikiquote"
"rowikisource"	"s3-analytics-slave.eqiad.wmnet"	"ro"	"wikisource"
"rowikivoyage"	"s3-analytics-slave.eqiad.wmnet"	"ro"	"wikivoyage"
"rswikimedia"	"s3-analytics-slave.eqiad.wmnet"	"rs"	"wikimedia"
"ru_sibwiki"	"s3-analytics-slave.eqiad.wmnet"	"ru-sib"	"wiki"
"ruewiki"	"s3-analytics-slave.eqiad.wmnet"	"rue"	"wiki"
"ruwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ru"	"wikibooks"
"ruwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"ru"	"wikimedia"
"ruwikinews"	"s3-analytics-slave.eqiad.wmnet"	"ru"	"wikinews"
"ruwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ru"	"wikiquote"
"ruwikisource"	"s3-analytics-slave.eqiad.wmnet"	"ru"	"wikisource"
"ruwikiversity"	"s3-analytics-slave.eqiad.wmnet"	"ru"	"wikiversity"
"ruwikivoyage"	"s3-analytics-slave.eqiad.wmnet"	"ru"	"wikivoyage"
"rwwiki"	"s3-analytics-slave.eqiad.wmnet"	"rw"	"wiki"
"sahwiki"	"s3-analytics-slave.eqiad.wmnet"	"sah"	"wiki"
"sahwikisource"	"s3-analytics-slave.eqiad.wmnet"	"sah"	"wikisource"
"sawiki"	"s3-analytics-slave.eqiad.wmnet"	"sa"	"wiki"
"sawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"sa"	"wikibooks"
"sawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"sa"	"wikiquote"
"sawikisource"	"s3-analytics-slave.eqiad.wmnet"	"sa"	"wikisource"
"scnwiki"	"s3-analytics-slave.eqiad.wmnet"	"scn"	"wiki"
"scowiki"	"s3-analytics-slave.eqiad.wmnet"	"sco"	"wiki"
"scwiki"	"s3-analytics-slave.eqiad.wmnet"	"sc"	"wiki"
"sdwiki"	"s3-analytics-slave.eqiad.wmnet"	"sd"	"wiki"
"sdwikinews"	"s3-analytics-slave.eqiad.wmnet"	"sd"	"wikinews"
"sewiki"	"s3-analytics-slave.eqiad.wmnet"	"se"	"wiki"
"sewikibooks"	"s3-analytics-slave.eqiad.wmnet"	"se"	"wikibooks"
"sewikimedia"	"s3-analytics-slave.eqiad.wmnet"	"se"	"wikimedia"
"sgwiki"	"s3-analytics-slave.eqiad.wmnet"	"sg"	"wiki"
"shwiki"	"s3-analytics-slave.eqiad.wmnet"	"sh"	"wiki"
"siwiki"	"s3-analytics-slave.eqiad.wmnet"	"si"	"wiki"
"siwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"si"	"wikibooks"
"skwiki"	"s3-analytics-slave.eqiad.wmnet"	"sk"	"wiki"
"skwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"sk"	"wikibooks"
"skwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"sk"	"wikiquote"
"skwikisource"	"s3-analytics-slave.eqiad.wmnet"	"sk"	"wikisource"
"slwiki"	"s3-analytics-slave.eqiad.wmnet"	"sl"	"wiki"
"slwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"sl"	"wikibooks"
"slwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"sl"	"wikiquote"
"slwikisource"	"s3-analytics-slave.eqiad.wmnet"	"sl"	"wikisource"
"slwikiversity"	"s3-analytics-slave.eqiad.wmnet"	"sl"	"wikiversity"
"smwiki"	"s3-analytics-slave.eqiad.wmnet"	"sm"	"wiki"
"snwiki"	"s3-analytics-slave.eqiad.wmnet"	"sn"	"wiki"
"sourceswiki"	"s3-analytics-slave.eqiad.wmnet"	"s"	"wiki"
"sowiki"	"s3-analytics-slave.eqiad.wmnet"	"so"	"wiki"
"sqwiki"	"s3-analytics-slave.eqiad.wmnet"	"sq"	"wiki"
"sqwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"sq"	"wikibooks"
"sqwikinews"	"s3-analytics-slave.eqiad.wmnet"	"sq"	"wikinews"
"sqwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"sq"	"wikiquote"
"srnwiki"	"s3-analytics-slave.eqiad.wmnet"	"srn"	"wiki"
"srwiki"	"s3-analytics-slave.eqiad.wmnet"	"sr"	"wiki"
"srwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"sr"	"wikibooks"
"srwikinews"	"s3-analytics-slave.eqiad.wmnet"	"sr"	"wikinews"
"srwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"sr"	"wikiquote"
"srwikisource"	"s3-analytics-slave.eqiad.wmnet"	"sr"	"wikisource"
"sswiki"	"s3-analytics-slave.eqiad.wmnet"	"ss"	"wiki"
"stqwiki"	"s3-analytics-slave.eqiad.wmnet"	"stq"	"wiki"
"stwiki"	"s3-analytics-slave.eqiad.wmnet"	"st"	"wiki"
"suwiki"	"s3-analytics-slave.eqiad.wmnet"	"su"	"wiki"
"suwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"su"	"wikibooks"
"suwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"su"	"wikiquote"
"svwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"sv"	"wikibooks"
"svwikinews"	"s3-analytics-slave.eqiad.wmnet"	"sv"	"wikinews"
"svwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"sv"	"wikiquote"
"svwikisource"	"s3-analytics-slave.eqiad.wmnet"	"sv"	"wikisource"
"svwikiversity"	"s3-analytics-slave.eqiad.wmnet"	"sv"	"wikiversity"
"svwikivoyage"	"s3-analytics-slave.eqiad.wmnet"	"sv"	"wikivoyage"
"swwiki"	"s3-analytics-slave.eqiad.wmnet"	"sw"	"wiki"
"swwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"sw"	"wikibooks"
"szlwiki"	"s3-analytics-slave.eqiad.wmnet"	"szl"	"wiki"
"tawiki"	"s3-analytics-slave.eqiad.wmnet"	"ta"	"wiki"
"tawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ta"	"wikibooks"
"tawikinews"	"s3-analytics-slave.eqiad.wmnet"	"ta"	"wikinews"
"tawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ta"	"wikiquote"
"tawikisource"	"s3-analytics-slave.eqiad.wmnet"	"ta"	"wikisource"
"tenwiki"	"s3-analytics-slave.eqiad.wmnet"	"ten"	"wiki"
"tetwiki"	"s3-analytics-slave.eqiad.wmnet"	"tet"	"wiki"
"tewiki"	"s3-analytics-slave.eqiad.wmnet"	"te"	"wiki"
"tewikibooks"	"s3-analytics-slave.eqiad.wmnet"	"te"	"wikibooks"
"tewikiquote"	"s3-analytics-slave.eqiad.wmnet"	"te"	"wikiquote"
"tewikisource"	"s3-analytics-slave.eqiad.wmnet"	"te"	"wikisource"
"tgwiki"	"s3-analytics-slave.eqiad.wmnet"	"tg"	"wiki"
"tgwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"tg"	"wikibooks"
"thwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"th"	"wikibooks"
"thwikinews"	"s3-analytics-slave.eqiad.wmnet"	"th"	"wikinews"
"thwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"th"	"wikiquote"
"thwikisource"	"s3-analytics-slave.eqiad.wmnet"	"th"	"wikisource"
"tiwiki"	"s3-analytics-slave.eqiad.wmnet"	"ti"	"wiki"
"tkwiki"	"s3-analytics-slave.eqiad.wmnet"	"tk"	"wiki"
"tkwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"tk"	"wikibooks"
"tkwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"tk"	"wikiquote"
"tlhwiki"	"s3-analytics-slave.eqiad.wmnet"	"tlh"	"wiki"
"tlwiki"	"s3-analytics-slave.eqiad.wmnet"	"tl"	"wiki"
"tlwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"tl"	"wikibooks"
"tnwiki"	"s3-analytics-slave.eqiad.wmnet"	"tn"	"wiki"
"tokiponawiki"	"s3-analytics-slave.eqiad.wmnet"	"tokipona"	"wiki"
"tokiponawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"tokipona"	"wikibooks"
"tokiponawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"tokipona"	"wikiquote"
"towiki"	"s3-analytics-slave.eqiad.wmnet"	"to"	"wiki"
"tpiwiki"	"s3-analytics-slave.eqiad.wmnet"	"tpi"	"wiki"
"trwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"tr"	"wikibooks"
"trwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"tr"	"wikimedia"
"trwikinews"	"s3-analytics-slave.eqiad.wmnet"	"tr"	"wikinews"
"trwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"tr"	"wikiquote"
"trwikisource"	"s3-analytics-slave.eqiad.wmnet"	"tr"	"wikisource"
"tswiki"	"s3-analytics-slave.eqiad.wmnet"	"ts"	"wiki"
"ttwiki"	"s3-analytics-slave.eqiad.wmnet"	"tt"	"wiki"
"ttwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"tt"	"wikibooks"
"ttwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"tt"	"wikiquote"
"tumwiki"	"s3-analytics-slave.eqiad.wmnet"	"tum"	"wiki"
"twwiki"	"s3-analytics-slave.eqiad.wmnet"	"tw"	"wiki"
"tywiki"	"s3-analytics-slave.eqiad.wmnet"	"ty"	"wiki"
"uawikimedia"	"s3-analytics-slave.eqiad.wmnet"	"ua"	"wikimedia"
"udmwiki"	"s3-analytics-slave.eqiad.wmnet"	"udm"	"wiki"
"ugwiki"	"s3-analytics-slave.eqiad.wmnet"	"ug"	"wiki"
"ugwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ug"	"wikibooks"
"ugwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ug"	"wikiquote"
"ukwiki"	"s3-analytics-slave.eqiad.wmnet"	"uk"	"wiki"
"ukwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"uk"	"wikibooks"
"ukwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"uk"	"wikimedia"
"ukwikinews"	"s3-analytics-slave.eqiad.wmnet"	"uk"	"wikinews"
"ukwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"uk"	"wikiquote"
"ukwikisource"	"s3-analytics-slave.eqiad.wmnet"	"uk"	"wikisource"
"ukwikivoyage"	"s3-analytics-slave.eqiad.wmnet"	"uk"	"wikivoyage"
"urwiki"	"s3-analytics-slave.eqiad.wmnet"	"ur"	"wiki"
"urwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ur"	"wikibooks"
"urwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ur"	"wikiquote"
"uzwiki"	"s3-analytics-slave.eqiad.wmnet"	"uz"	"wiki"
"uzwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"uz"	"wikibooks"
"uzwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"uz"	"wikiquote"
"vecwiki"	"s3-analytics-slave.eqiad.wmnet"	"vec"	"wiki"
"vecwikisource"	"s3-analytics-slave.eqiad.wmnet"	"vec"	"wikisource"
"vepwiki"	"s3-analytics-slave.eqiad.wmnet"	"vep"	"wiki"
"vewiki"	"s3-analytics-slave.eqiad.wmnet"	"ve"	"wiki"
"vewikimedia"	"s3-analytics-slave.eqiad.wmnet"	"ve"	"wikimedia"
"viwiki"	"s3-analytics-slave.eqiad.wmnet"	"vi"	"wiki"
"viwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"vi"	"wikibooks"
"viwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"vi"	"wikiquote"
"viwikisource"	"s3-analytics-slave.eqiad.wmnet"	"vi"	"wikisource"
"vlswiki"	"s3-analytics-slave.eqiad.wmnet"	"vls"	"wiki"
"vowiki"	"s3-analytics-slave.eqiad.wmnet"	"vo"	"wiki"
"vowikibooks"	"s3-analytics-slave.eqiad.wmnet"	"vo"	"wikibooks"
"vowikiquote"	"s3-analytics-slave.eqiad.wmnet"	"vo"	"wikiquote"
"warwiki"	"s3-analytics-slave.eqiad.wmnet"	"war"	"wiki"
"wawiki"	"s3-analytics-slave.eqiad.wmnet"	"wa"	"wiki"
"wawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"wa"	"wikibooks"
"wg_enwiki"	"s3-analytics-slave.eqiad.wmnet"	"wg-en"	"wiki"
"wowiki"	"s3-analytics-slave.eqiad.wmnet"	"wo"	"wiki"
"wowikiquote"	"s3-analytics-slave.eqiad.wmnet"	"wo"	"wikiquote"
"wuuwiki"	"s3-analytics-slave.eqiad.wmnet"	"wuu"	"wiki"
"xalwiki"	"s3-analytics-slave.eqiad.wmnet"	"xal"	"wiki"
"xhwiki"	"s3-analytics-slave.eqiad.wmnet"	"xh"	"wiki"
"xhwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"xh"	"wikibooks"
"xmfwiki"	"s3-analytics-slave.eqiad.wmnet"	"xmf"	"wiki"
"yiwiki"	"s3-analytics-slave.eqiad.wmnet"	"yi"	"wiki"
"yiwikisource"	"s3-analytics-slave.eqiad.wmnet"	"yi"	"wikisource"
"yowiki"	"s3-analytics-slave.eqiad.wmnet"	"yo"	"wiki"
"yowikibooks"	"s3-analytics-slave.eqiad.wmnet"	"yo"	"wikibooks"
"zawiki"	"s3-analytics-slave.eqiad.wmnet"	"za"	"wiki"
"zawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"za"	"wikibooks"
"zawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"za"	"wikiquote"
"zeawiki"	"s3-analytics-slave.eqiad.wmnet"	"zea"	"wiki"
"zh_classicalwiki"	"s3-analytics-slave.eqiad.wmnet"	"zh-classical"	"wiki"
"zh_cnwiki"	"s3-analytics-slave.eqiad.wmnet"	"zh-cn"	"wiki"
"zh_min_nanwiki"	"s3-analytics-slave.eqiad.wmnet"	"zh-min-nan"	"wiki"
"zh_min_nanwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"zh-min-nan"	"wikibooks"
"zh_min_nanwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"zh-min-nan"	"wikiquote"
"zh_min_nanwikisource"	"s3-analytics-slave.eqiad.wmnet"	"zh-min-nan"	"wikisource"
"zh_twwiki"	"s3-analytics-slave.eqiad.wmnet"	"zh-tw"	"wiki"
"zh_yuewiki"	"s3-analytics-slave.eqiad.wmnet"	"zh-yue"	"wiki"
"zhwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"zh"	"wikibooks"
"zhwikinews"	"s3-analytics-slave.eqiad.wmnet"	"zh"	"wikinews"
"zhwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"zh"	"wikiquote"
"zhwikisource"	"s3-analytics-slave.eqiad.wmnet"	"zh"	"wikisource"
"zuwiki"	"s3-analytics-slave.eqiad.wmnet"	"zu"	"wiki"
