"Database"	"Slave"	"Lang_Code"	"Project_Type"
"bmwiki"	"s3-analytics-slave.eqiad.wmnet"	"bm"	"wiki"
"bmwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"bm"	"wikibooks"
"bmwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"bm"	"wikiquote"
"bnwiki"	"s3-analytics-slave.eqiad.wmnet"	"bn"	"wiki"
"bnwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"bn"	"wikibooks"
"bnwikisource"	"s3-analytics-slave.eqiad.wmnet"	"bn"	"wikisource"
"bowiki"	"s3-analytics-slave.eqiad.wmnet"	"bo"	"wiki"
"bowikibooks"	"s3-analytics-slave.eqiad.wmnet"	"bo"	"wikibooks"
"bpywiki"	"s3-analytics-slave.eqiad.wmnet"	"bpy"	"wiki"
"brwiki"	"s3-analytics-slave.eqiad.wmnet"	"br"	"wiki"
"brwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"br"	"wikimedia"
"brwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"br"	"wikiquote"
"brwikisource"	"s3-analytics-slave.eqiad.wmnet"	"br"	"wikisource"
"bswiki"	"s3-analytics-slave.eqiad.wmnet"	"bs"	"wiki"
"bswikibooks"	"s3-analytics-slave.eqiad.wmnet"	"bs"	"wikibooks"
"bswikinews"	"s3-analytics-slave.eqiad.wmnet"	"bs"	"wikinews"
"bswikiquote"	"s3-analytics-slave.eqiad.wmnet"	"bs"	"wikiquote"
"bswikisource"	"s3-analytics-slave.eqiad.wmnet"	"bs"	"wikisource"
"bugwiki"	"s3-analytics-slave.eqiad.wmnet"	"bug"	"wiki"
"bxrwiki"	"s3-analytics-slave.eqiad.wmnet"	"bxr"	"wiki"
"cawiki"	"s3-analytics-slave.eqiad.wmnet"	"ca"	"wiki"
"cawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ca"	"wikibooks"
"cawikinews"	"s3-analytics-slave.eqiad.wmnet"	"ca"	"wikinews"
"cawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ca"	"wikiquote"
"cawikisource"	"s3-analytics-slave.eqiad.wmnet"	"ca"	"wikisource"
"cbk_zamwiki"	"s3-analytics-slave.eqiad.wmnet"	"cbk-zam"	"wiki"
"cdowiki"	"s3-analytics-slave.eqiad.wmnet"	"cdo"	"wiki"
"cebwiki"	"s3-analytics-slave.eqiad.wmnet"	"ceb"	"wiki"
"cewiki"	"s3-analytics-slave.eqiad.wmnet"	"ce"	"wiki"
"chowiki"	"s3-analytics-slave.eqiad.wmnet"	"cho"	"wiki"
"chrwiki"	"s3-analytics-slave.eqiad.wmnet"	"chr"	"wiki"
"chwiki"	"s3-analytics-slave.eqiad.wmnet"	"ch"	"wiki"
"chwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ch"	"wikibooks"
"chwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"ch"	"wikimedia"
"chywiki"	"s3-analytics-slave.eqiad.wmnet"	"chy"	"wiki"
"ckbwiki"	"s3-analytics-slave.eqiad.wmnet"	"ckb"	"wiki"
"cowiki"	"s3-analytics-slave.eqiad.wmnet"	"co"	"wiki"
"cowikibooks"	"s3-analytics-slave.eqiad.wmnet"	"co"	"wikibooks"
"cowikimedia"	"s3-analytics-slave.eqiad.wmnet"	"co"	"wikimedia"
"cowikiquote"	"s3-analytics-slave.eqiad.wmnet"	"co"	"wikiquote"
"crhwiki"	"s3-analytics-slave.eqiad.wmnet"	"crh"	"wiki"
"crwiki"	"s3-analytics-slave.eqiad.wmnet"	"cr"	"wiki"
"crwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"cr"	"wikiquote"
"csbwiki"	"s3-analytics-slave.eqiad.wmnet"	"csb"	"wiki"
"cswikibooks"	"s3-analytics-slave.eqiad.wmnet"	"cs"	"wikibooks"
"cswikinews"	"s3-analytics-slave.eqiad.wmnet"	"cs"	"wikinews"
"cswikiquote"	"s3-analytics-slave.eqiad.wmnet"	"cs"	"wikiquote"
"cswikisource"	"s3-analytics-slave.eqiad.wmnet"	"cs"	"wikisource"
"cswikiversity"	"s3-analytics-slave.eqiad.wmnet"	"cs"	"wikiversity"
"cuwiki"	"s3-analytics-slave.eqiad.wmnet"	"cu"	"wiki"
"cvwiki"	"s3-analytics-slave.eqiad.wmnet"	"cv"	"wiki"
"cvwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"cv"	"wikibooks"
"cywiki"	"s3-analytics-slave.eqiad.wmnet"	"cy"	"wiki"
"cywikibooks"	"s3-analytics-slave.eqiad.wmnet"	"cy"	"wikibooks"
"cywikiquote"	"s3-analytics-slave.eqiad.wmnet"	"cy"	"wikiquote"
"cywikisource"	"s3-analytics-slave.eqiad.wmnet"	"cy"	"wikisource"
"dawiki"	"s3-analytics-slave.eqiad.wmnet"	"da"	"wiki"
"dawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"da"	"wikibooks"
"dawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"da"	"wikiquote"
"dawikisource"	"s3-analytics-slave.eqiad.wmnet"	"da"	"wikisource"
"demowikinews"	"s3-analytics-slave.eqiad.wmnet"	"demo"	"wikinews"
"dewikibooks"	"s3-analytics-slave.eqiad.wmnet"	"de"	"wikibooks"
"dewikinews"	"s3-analytics-slave.eqiad.wmnet"	"de"	"wikinews"
"dewikiquote"	"s3-analytics-slave.eqiad.wmnet"	"de"	"wikiquote"
